City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
22,Mogadishu,SO,79.79,broken clouds,2.0371,45.3438,Hotel Juba
23,Toamasina,MG,77.23,broken clouds,-18.1667,49.3833,Hotel H1
30,Kavieng,PG,85.08,broken clouds,-2.5744,150.7967,Nusa Island Retreat
31,Vaini,TO,77.16,light rain,-21.2,-175.2,Keleti Beach Resort
32,Faanui,PF,77.11,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
34,Mareeba,AU,87.44,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
35,Atuona,PF,77.09,clear sky,-9.8,-139.0333,Villa Enata
37,Kapaa,US,78.78,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
38,Luganville,VU,83.19,few clouds,-15.5333,167.1667,The Espiritu Hotel
40,Auki,SB,82.42,broken clouds,-8.7676,160.7034,Auki Motel
41,Itarema,BR,75.9,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
49,Butaritari,KI,81.45,broken clouds,3.0707,172.7902,Isles Sunset Lodge
54,Saint-Philippe,RE,78.39,scattered clouds,-21.3585,55.7679,Le four à pain
57,Mahébourg,MU,78.26,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
59,Mana,GF,77.43,overcast clouds,5.6592,-53.7767,LE SAMANA
62,São Filipe,CV,79.75,broken clouds,14.8961,-24.4956,Hotel Xaguate
71,Sibolga,ID,82.4,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
72,Porbandar,IN,85.82,clear sky,21.6422,69.6093,Lords Inn Porbandar
73,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
77,Hervey Bay,AU,75.16,clear sky,-25.2986,152.8535,Shelly Bay Resort
80,Hithadhoo,MV,81.0,overcast clouds,-0.6,73.0833,Scoop Guest House
85,Bandarbeyla,SO,80.28,broken clouds,9.4942,50.8122,JABIR HOTEL
86,Iracoubo,GF,77.83,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
87,Ca Mau,VN,83.73,overcast clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
90,Bac Lieu,VN,82.69,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
91,Grand-Lahou,CI,76.66,light rain,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
92,Port-Gentil,GA,78.76,overcast clouds,-0.7193,8.7815,Fengshui Residence
105,Nanning,CN,81.57,broken clouds,22.8167,108.3167,Nanning Travelling With Hostel
117,Mpanda,TZ,77.36,overcast clouds,-6.3655,31.0409,CH Hotel - Mpanda
131,Myitkyina,MM,83.91,clear sky,25.3833,97.4,Shwe Phyu Hotel
134,Bambous Virieux,MU,78.22,light rain,-20.3428,57.7575,Casa Tia Villa
136,Balaipungut,ID,84.04,overcast clouds,1.05,101.2833,Darmo wira
141,Isangel,VU,79.68,broken clouds,-19.55,169.2667,Tanna Lodge
145,Udayagiri,IN,78.64,scattered clouds,20.1333,84.3833,Hotel Disha
147,Nabire,ID,88.16,scattered clouds,-3.3667,135.4833,Hotel Nusantara I
148,Kilindoni,TZ,77.58,few clouds,-7.9139,39.6668,Bustani B&B
149,Padang,ID,86.05,broken clouds,-0.9492,100.3543,Mercure Padang
154,Carnarvon,AU,80.91,clear sky,-24.8667,113.6333,Hospitality Carnarvon
156,George Town,MY,82.33,moderate rain,5.4112,100.3354,Cititel Penang
160,Bherāmāra,BD,84.07,scattered clouds,24.0232,88.9925,Govt Guest House (Dac Banglo)
